Date_ID,Year,Month,Day
200950,1971,8,9
200951,1971,8,9
200952,1971,8,10
200953,1971,8,11
200954,1971,8,11
200955,1971,8,11
200956,1971,8,12
200957,1971,8,14
200958,1971,8,15
200959,1971,8,15
200960,1971,8,15
200961,1971,8,18
200962,1971,8,22
200963,1971,8,22
200964,1971,8,22
200965,1971,8,22
200966,1971,8,22
200967,1971,8,22
200968,1971,8,22
200969,1971,8,22
200970,1971,8,22
200971,1971,8,22
200972,1971,8,23
200973,1971,8,23
200974,1971,8,23
200975,1971,8,23
200976,1971,8,23
200977,1971,8,23
200978,1971,8,23
200979,1971,8,24
200980,1971,8,24
200981,1971,8,24
200982,1971,8,25
200983,1971,8,25
200984,1971,8,27
200985,1971,8,28
200986,1971,8,28
200987,1971,8,28
200988,1971,8,28
200989,1971,8,28
200990,1971,8,29
200991,1971,8,29
200992,1971,8,29
200993,1971,8,29
200994,1971,8,30
200995,1971,8,30
200996,1971,9,0
200997,1971,9,0
200998,1971,9,1
200999,1971,9,2
201000,1971,9,2
201001,1971,9,3
201002,1971,9,3
201003,1971,9,4
201004,1971,9,7
201005,1971,9,8
201006,1971,9,9
201007,1971,9,9
201008,1971,9,13
201009,1971,9,13
201010,1971,9,14
201011,1971,9,14
201012,1971,9,14
201013,1971,9,15
201014,1971,9,16
201015,1971,9,16
201016,1971,9,16
201017,1971,9,17
201018,1971,9,17
201019,1971,9,18
201020,1971,9,18
201021,1971,9,20
201022,1971,9,20
201023,1971,9,20
201024,1971,9,23
201025,1971,9,23
201026,1971,9,24
201027,1971,9,24
201028,1971,9,24
201029,1971,9,24
201030,1971,9,28
201031,1971,9,29
201032,1971,9,30
201033,1971,10,0
201034,1971,10,1
201035,1971,10,2
201036,1971,10,3
201037,1971,10,3
201038,1971,10,4
201039,1971,10,4
201040,1971,10,6
201041,1971,10,7
201042,1971,10,9
201043,1971,10,10
201044,1971,10,11
201045,1971,10,11
201046,1971,10,14
201047,1971,10,15
201048,1971,10,15
201049,1971,10,15
201050,1971,10,16
201051,1971,10,17
201052,1971,10,18
201053,1971,10,20
201054,1971,10,23
201055,1971,10,24
201056,1971,10,26
201057,1971,10,27
201058,1971,10,27
201059,1971,10,31
201060,1971,11,1
201061,1971,11,2
201062,1971,11,2
201063,1971,11,2
201064,1971,11,3
201065,1971,11,3
201066,1971,11,3
201067,1971,11,3
201068,1971,11,4
201069,1971,11,7
201070,1971,11,9
201071,1971,11,10
201072,1971,11,10
201073,1971,11,11
201074,1971,11,12
201075,1971,11,12
201076,1971,11,15
201077,1971,11,17
201078,1971,11,17
201079,1971,11,17
201080,1971,11,17
201081,1971,11,18
201082,1971,11,18
201083,1971,11,18
201084,1971,11,20
201085,1971,11,20
201086,1971,11,22
201087,1971,11,23
201088,1971,11,24
201089,1971,11,24
201090,1971,11,27
201091,1971,11,27
201092,1971,11,28
201093,1971,11,28
201094,1971,11,29
201095,1971,11,29
201096,1971,11,29
201097,1971,11,30
201098,1971,11,30
201099,1971,12,4
201100,1971,12,4
201101,1971,12,5
201102,1971,12,6
201103,1971,12,6
201104,1971,12,7
201105,1971,12,7
201106,1971,12,8
201107,1971,12,10
201108,1971,12,10
201109,1971,12,11
201110,1971,12,12
201111,1971,12,15
201112,1971,12,15
201113,1971,12,15
201114,1971,12,16
201115,1971,12,18
201116,1971,12,20
